Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Maera pachytelson Karaman & Ruffo, 1971;Maera;pachytelson;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;Free
Maerella tenuimana (Spence Bate, 1862);Maerella;tenuimana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;Free
Othomaera knudseni (Reid, 1951);Othomaera;knudseni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;9;Free
Quadrimaera inaequipes(A. Costa in Hope, 1851);Quadrimaera;inaequipes;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;8;Free
Abludomelita gladiosa (Spence Bate, 1862);Abludomelita;gladiosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;Free
Gammarella fucicola (Leach, 1814);Gammarella;fucicola;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;12;Tube
Deflexilodes gibbosus (Chevreux, 1888);Deflexilodes;gibbosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;Free
Deflexilodes subnudus (Norman, 1889);Deflexilodes;subnudus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;10;Free
Kroyera carinata Spence Bate, 1857;Kroyera;carinata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;10;Free
Perioculodes aequimanus (Korssman, 1880);Perioculodes;aequimanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;2.9;Free
Perioculodes longimanus (Spence Bate & Westwood, 1868);Perioculodes;longimanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;Free
Pontocrates arenarius(Spence Bate, 1858);Pontocrates;arenarius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.5;Free
Synchelidium longidigitatum Ruffo,1947;Synchelidium;longidigitatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;2.8;Free
Pereionotus testudo (Montagu, 1808);Perionotus;testudo;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;4;Free
Gammaropsis crenulata Krapp-Schickel & Myers, 1979;Gammaropsis;crenulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;Tube
